brewerySlug,beerSlug,name,beers,description,beerStyle,malts,hops,line1,line2,abv,ibu,originalGravity,availability,Image,pageImage,mapImage,Calories,carb,beerurl,mainImage
kinkaider,4-county,4-County,4-County,Our new recipe uses 4 hop varieties that provide plenty of citrus aroma and flavor. The malt backbone supports a mild bitterness making this a perfect beer for any occasion.,Pale Ale,"2-Row, Maris Otter, C60, C80, Carapils","Falconer's Flight, Cascade, Citra, Equinox",,malty with hoppy aroma,5.5,38,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2F4-county%2F_resized%2F4-county_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2F4-country%2F4-country.png?alt=media&token=0416d9ff-4356-4787-b151-dcc82171f251,,,,
kinkaider,snozzberry,Snozzberry,Snozzberry,The Snozzberries taste like Snozzberries! A collaboration brewed with Local Patio and Kitchen.,Sour," 2-Row, Wheat, Pilsner, Munich",East Kent Goldings,,sour then lightly sweet,5.1,12,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fsnozzberry%2F_resized%2Fsnozzberry_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fsnozzberry%2Fsnozzberry.png?alt=media,,,,
kinkaider,devils-gap-j,Devil's Gap Jalapeño Ale,Devil's Gap Jalapeño Ale,Our award winning jalapeno ale gives you an intense jalapeno flavor with a slightly heated finish and aroma.  The perfection in this beer will please both heat seekers and flavor chasers.  The beer that truly has something for everyone to enjoy.,Jalapeño Ale,"2-Row, Rye, C20, C60",Saaz,,,4.7,10,,6-Pack bottles,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdevils-gap-j%2F_resized%2Fdevils-gap-j_3200x3200.png?alt=media,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkinkaider%2Fbeers%2Fdevils-gap-j%2Fdevils-gap-j.png?alt=media,,,,
krosstrain,southern,Southern Hopisphere,Southern Hopisphere,"Crikey, get the shrimp out and the barbie lit! Better than one of those big beers Australia is famous for, Southern Hopisphere is one of our juiciest IPAs yet! Packed with Galaxy and Vic Secret Hops, motueka, and nelson sauvin hops, you'll taste pineapple, mango, and citrus flavors in this brew!",New England IPA,,,,,7.5,62,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fsouthern%2Fsouthern.png?alt=media,,,,
krosstrain,web-of-lies,Web of Lies,Web of Lies,"Our 'session' New England Double IPA is jam packed with Citra, Mosaic, and Sultana hops. Then for an extra juicy hit, we dry hopped with Sabro and Lotus.",Double New England Imperial IPA ,,,,,7.5,0,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fweb-of-lies%2Fweb-of-lies.png?alt=media,,,,
krosstrain,ddh,Fairy Nectar Double Dry Hopped,Fairy Nectar Double Dry Hopped,"The 2018 Juicy Hazy IPA category Silver Medalist at GABF is Back! With the extra dose of Citra and Mosaic hops, this juice bomb will deliver exactly what you are looking for! Hazy, juicy, and full of tropical and citrus flavor all with very low bitterness, this is a NEIPA that hits all the right notes!",New England Double IPA,,,,,6.2,62,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fddh%2Fddh.png?alt=media,,,,
krosstrain,nilla,Nilla Nectar,Nilla Nectar,"This small batch of our award winning Fairy Nectar was finished with freshly harvested vanilla caviar for a smooth, decadent IPA experience!",New England IPA Vanilla,,,,,6.2,65,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fnilla%2Fnilla.png?alt=media,,,,
krosstrain,fairy-nectar,Fairy Nectar IPA,Fairy Nectar IPA,"Aromatic hops and notes of grapefruit, mango and tropical goodness fill this tasty IPA. Leaving very little bitterness behind.",New England IPA,,,,"Aromatic, hints of critius and mango",6.2,62,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Ffairy-nectar%2Ffairy-nectar.png?alt=media,,,,
krosstrain,krossteiner,Krossteiner,Krossteiner,A czech style pilsner with a 'keller' amount of haze! Dry hopped with saaz hops for the noblest of palates! A perfect pilsner for porches and patios! Na zdravi!,Pilsner,,,,,5,45,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fkrossteiner%2Fkrossteiner.png?alt=media,,,,
krosstrain,helles-creek,Helles Creek,Helles Creek,Easy Drinking German Style lager light malt sweetness with no bitterness.,Lagar,,,,,4.8,16,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fhelles-creek%2Fhelles-creek.png?alt=media,,,,
krosstrain,tan-limes,Tan Limes,Tan Limes,"Break out the flip flops and uncover the pool, because the first taste of summer is here! We brewed our version of a Light Mexican Lager and added lime so you don't have to! Add just a touch of salt and all you need is a beach front view!",Lagar,,,,,4.8,0,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Ftan-limes%2Ftan-limes.png?alt=media,,,,
krosstrain,rules-dont-apply,Rules Don't Apply,Rules Don't Apply,Do you make anything like a Hefeweizen?' We do now! Bright banana and clove flavors shine though from a yeast strain that's been used for generations,Hefeweizen,,,,,4.6,0,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Frules-dont-apply%2Frules-dont-apply.png?alt=media,,,,
krosstrain,dad-jokes,Dad Jokes,Dad Jokes,"Why Dad Jokes? Because they're Corny! Nebraska's first ever NEIPA (Nebraska IPA) made with flaked maize in the grain bill! Slightly sweet, but hopped with Cashmere, Centennial, Sabro and Zappa hops for the next big thing in IPA!",IPA,,,,,5.9,47,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fdad-jokes%2Fdad-jokes.png?alt=media,,,,
krosstrain,hopstreaker,Hopstreaker,Hopstreaker,A late addition hop bursted pale ale using all Mosaic hops.,American Pale Ale,,,,,4.9,40,,6-pack,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fkrosstrain%2Fbeers%2Fhopstreaker%2Fhopstreaker.png?alt=media,,,,
bottlerocket,thefourth,The Fourth,The Fourth,"An easy drinking crisp lager made with barley, hops, and, of course, corn.",Lager,,,,,4.7,12,, 6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbottlerocket%2Fbeers%2Fthefourth%2Fthefourth.png?alt=media,,,,
bottlerocket,golden-stout,Golden Stout,Golden Stout,"Deceiving in color, this contracdiction of a stout is brewed with light, biscuit malt and Indian Malabar coffee - from our local JD's coffee shop - to give it a rich flavor and golden hue... A perfection reflection of Nebraska's golden summer and stout winters.",Golden Stout,,,,,6.2,29,, 6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbottlerocket%2Fbeers%2Fgolden-stout%2Fgolden-stout.PNG?alt=media,,,,
bottlerocket,blueberry-bomb,Blueberry Bomb,Blueberry Bomb,More beer than it is a blueberry beer. The flavor in this beer is more like a subtle spark than an explosion,American Wheat,,,,,5.9,22,, 6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbottlerocket%2Fbeers%2Fblueberry-bomb%2Fblueberry-bomb.PNG?alt=media&token=debe25b4-e07f-4bfc-a247-5bbdaa8f4465,,,,
bottlerocket,blonde,Blonde,Blonde,"Easy drinking, smooth and amazing flavor are some of the terms used by visitors in our taproom. This beer has been a project of our brew masters for over a year, to fine tune a great beer. It has become our best selling beer in the taproom since it's launch. It is a great beer for any occasion, time of year or paired with most foods. ",Blonde Ale,,,,,5.2,20,, 6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbottlerocket%2Fbeers%2Fblonde%2Fblonde.png?alt=media,,,,
bottlerocket,m-80,M-80,M-80,"The M-80 has explosive flavor without the hard bitter hit of an IPA. It carries a high bitter rating, but is very refreshing and easy on the taste buds. This is a beer that our Mug Club members picked as a favorite and we decided to add it to our list of cornerstone beers. For many of our taproom regulars, this is a go to beer.",Medium Pale Ale,,,,,5.7,63,, 6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbottlerocket%2Fbeers%2Fm-80%2Fm-80.png?alt=media,,,,
bottlerocket,wickedspark,Wicked Spark,Wicked Spark,"a wheat IPA that has great hoppy flavor, but with smoothness of a wheat ale",IPA,,,,,5.3,63,, 6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbottlerocket%2Fbeers%2Fwickedspark%2Fwickedspark.png?alt=media,,,,
code,elmo,Elmo IPA,Elmo IPA,El Dorado and Mosaic hops provide plenty of tropical and stone fruit aroma and flavor with a bit of a dank edge. It’s easy bitterness and smooth body will make you want more than one!,IPA,,,,,6.5,,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
code,berrylemon,Berry Lemon Sour,Berry Lemon Sour,Wheat-based sour ale using lactobacillus and fruited with lots of blueberry and lemon. The combination of fruit kicks up the tartness of the beer.,Sour,n/a,n/a,,,4.8,6,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcode%2Fbeers%2Fberrylemon%2Fberrylemon.png?alt=media,,,,
code,continuous,Continuous Wave,Continuous Wave,Light and clean malt flavor with a hint of corn (from flaked corn) and a very subtle noble hop character. Nebraska-grown grains and hops make this beer truly a Nebraska grown ale. ,Cream Ale,n/a,n/a,,,5.5,n/a,n/a,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcode%2Fbeers%2Fcontinuous%2Fcontinuous.png?alt=media,,,,
nebrew,cardinal,Cardinal Pale Ale,Cardinal Pale Ale,"Our American Pale Ale is golden in color, mildly bitter, and characterized by floral/citrus-like aromatics which are the result of an additional dry hopping with a very large amount of Cascade Hops. Crisp, crystal clear, and completely enjoyable.",American Pale Ale,"2-Row, Munich, Caramel 10, Caramel 20","Galena, Cascade",,,6,42,unknown,6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fnebrew%2Fbeers%2Fcardinal%2Fcardinal.png?alt=media,,,,
nebrew,tacoveza,Tacoveza,Tacoveza,A thirst quenching light lager inspired by the finer pale lagers of Mexico. Flaked Maize compliments our 2-row barley malt to help keep this beer dry and refreshing and also lends its own subtle flavor to the brew. Find something spicy to eat and put out the fire with Tacoveza!,Mexican Lager,"2-Row, Falked Maize",Liberty,,,4,9,,6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fnebrew%2Fbeers%2Ftacoveza%2Ftacoveza.png?alt=media,,,,
nebrew,brunette,Brunette Nut Brown,Brunette Nut Brown,"Our version of the classic English-style Brown Ale has a blend of six different malts and a hop schedule that results in a low hop character. The unique malt character brings to mind the taste of a blend of various nuts. Coffee, toffee, caramel tend to come to mind in this excellent session Ale.",Brown Ale,"Pale Ale, Aromatic, Oats, Caramel 60, Caramel 120, Chocolate",Galena,"Pairs Well:BBQ, Pizza, Smoked Gouda Cheese, grilled/roasted/braised meats.",,4.7,20,unknown,6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fnebrew%2Fbeers%2Fbrunette%2Fbrunette.png?alt=media,,,,
nebrew,eos,EOS Hefeweizen,EOS Hefeweizen,"This medium to full-bodied beer, pale to golden in color, is most accurately described as a Bavarian wheat beer. The aroma and flavor of this unfiltered beer is decidedly fruity and spicy evoking tastes and aromas of cloves, nutmeg or sometimes vanilla with banana-like esters. Somewhat sweeter in style with a barely noticeable tartness. An award winning Hefeweizen from the heartland.",Wheat Ale,"2-Row, Wheat, Caramel 10",Liberty,"Pairs Well:Salads, Salmon, Seafood Appetizers, Cheeses such as Goat.",,5.2,13,unknown,6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fnebrew%2Fbeers%2Feos%2Feos.png?alt=media,,,,
nebrew,ipa,IPA,IPA,"Our West Coast inspired India Pale Ale is rich in flavor and abundant in citrus, pine, and floral aromatics created through a wonderful infusion of Citra hops. Completely refreshing with a medium mouth-feel, crisp bitterness, and nearly balanced malt. Finishes dry with a head that creates excellent lacing. Beautifully Nebraskan.",IPA,"2-Row, Munich","Warrior, Chinook, Citra, & Centennial","Foods created with spice. Curry, roasted meats, & BBQ.",,6.9,72,unknown,6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fnebrew%2Fbeers%2Fipa%2Fipa.png?alt=media,,,,
nebrew,pils,Nebraska Pils,Nebraska Pils,Nebraska was home to many wonderful breweries before us. This Beer pays homage to some of The Choicest Products of the Brewers’ Art. Wonderfully bright and pale in color with a satisfying malt flavor. Classically Nebraskan.,Pale Lager,"Pilsner, Cara Pils","Sterling, Liberty",,,5.1,30,unknown,6-Pack Cans,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fnebrew%2Fbeers%2Fpils%2Fpils.png?alt=media,,,,
brickway,ginger,Ginger Beer,Ginger Beer,A non-alcoholic beverage with a hint of ginger freshness.,Ginger Beer non-alcoholic,,,,,0,n/a,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbrickway%2Fbeers%2Fginger%2Fginger.png?alt=media,,,,
brickway,oktoberfest,Oktoberfest,Oktoberfest,Full flavored lager with a hint of bitterness.,Octoberfest Lager,,,,,5.2,n/a,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbrickway%2Fbeers%2Foktoberfest%2Foktoberfest.png?alt=media,,,,
brickway,raspberry-hef,Raspberry Hefeweizen,Raspberry Hefeweizen,"Notes of maple syrup, toffee, nutty pecans, and roasted malt. Medium bodied with a sweet, semi-dry finish.",Raspberry Hefeweizen,,,,,5,n/a,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
brickway,juicyipa,Juicy IPA,Juicy IPA,"A hazier, juicier version of the One Way IPA, double dry hopped with Galaxy hops",IPA,,,,,5,n/a,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbrickway%2Fbeers%2Fjuicyipa%2Fjuicyipa.png?alt=media,,,,
brickway,pils,Pilsner,Pilsner,A crisp lager with soft Noble-type hops for a refeshing clean finish.,Pilsner,,,,,4.8,n/a,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbrickway%2Fbeers%2Fpils%2Fpils.png?alt=media,,,,
brickway,stout,Coffee Vanilla Stout,Coffee Vanilla Stout,Oatmeal milk stout with real vanilla and over 40lbs of cold steeped coffee per batch. *contains lactose ,Stout,unknown,unknown,Coffee,,5,n/a,n/a,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbrickway%2Fbeers%2Fstout%2Fstout.png?alt=media,,,,
brickway,jalapeno,Jalapeno Pineapple Pilsner,Jalapeno Pineapple Pilsner,Our base pilsner with over 20lbs of fresh sliced jalapeno and loads of sweet Hawaiian pineapple puree. It tastes like gold and it won gold in 2019!,Pilsner,n/a,n/a,,,4.8,n/a,n/a,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fbrickway%2Fbeers%2Fjalapeno%2Fjalapeno.png?alt=media,,,,
lazyhorse,reckless-ipa,Reckless IPA,Reckless IPA,"This is a very balanced IPA with reduced bitterness and enhanced hop flavors and aromas. Fruity deliciousness balance out this unique IPA. If you're looking for piney dankness, this isn't the IPA for you. If you're looking for an easy drinking, palatable beer that doesn't blow out your taste buds.",IPA,,,,,7.2,56,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
lazyhorse,blood-orange,Blood Orange,Blood Orange,A delicious beer made with Blood oranges and Coriander. Delicious and easy drinking.,Pale Ale Orange,,,,,5,30,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
lazyhorse,salted-caramel,Salted Caramel Blonde,Salted Caramel Blonde,A light easy drinking beer with a touch of salt and a smooth caramel finish. Perfect for any season.,Salted Caramel Blonde,,,,,4.3,21,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Flazyhorse%2Fbeers%2Fsalted-caramel%2F_resized%2Fsalted-caramel_200x200.png?alt=media,,,,
lazyhorse,milk-stout,Milk Stout,Milk Stout,,Stout Sweet Milk,,,,,7,26,,"On Tap, 6-Pack Cans",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
cosmiceye,floyd,Floyd Wants to Party,Floyd Wants to Party,"Easy drinking summer lager! Light and crisp with robust flavors of raspberry. Brewed with only Pilsner Malt & Monroe Hops. This seasonal lager will only be in rotation for a few months, get it while you can!",Lager,,,,,5,22,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Ffloyd%2Ffloyd.png?alt=media,,,,
cosmiceye,festbier,Festbier,Festbier,Cosmic eye beer sited first at south street liquor,Ale,,,,,5.3,n/a,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
cosmiceye,open-hearted,Open Hearted,Open Hearted,"Our newest Pale Lager. Made with Pilsner Malt and a brand new hop, 'Emrald Spire'. Perfect for enoying or dreaming of warmer weather. Delicate with notes of white grape, peach, melon, and honey. ",Lager,,,,,4.6,22,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Fopen-hearted%2Fopen-hearted.png?alt=media,,,,
cosmiceye,friend-death,Your Friend Death,Your Friend Death,"This Imperial Stout is about as dark as you can get. 100% malt, no additional sugars or flavorings. Deep and lasting flavors of coffee, chocolate, and roasted malts.",Stout,,,,,8.1,66,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Ffriend-death%2Ffriend-death.png?alt=media,,,,
cosmiceye,sir-limes-a-lot,Sir Limes-A-Lot ,Sir Limes-A-Lot ,"True to it's name this beer brings the limes to the party! If you're a margarita fan, you'll love this beer. Sour Ale with Lime, Salt, and Coriander. Aged on Oak.",Sour Lime,,,,,4.8,23,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Fsir-limes-a-lot%2Fsir-limes-a-lot.png?alt=media,,,,
cosmiceye,laser-2,Laser Quest 2.0,Laser Quest 2.0,Aptly named after those who came before us. Laser Quest 2.0 is an upgrade of tenants previously occupying our space (if you ask us). This one drinks like a fine Rosè and includes an addition of hibiscus bringing a beautiful pink color - that remind us of lasers and smoke machines.,Ale Hibiscus,,,,,5.5,0,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Flaser-2%2Flaser-2.png?alt=media,,,,
cosmiceye,call-of-wolf-mama,Call of the Wolf Mama,Call of the Wolf Mama,"This one will make you howl at the moon. Pilsner malt, oats and corn. Hopped singly and intensely with Styrian Wolf hops, undertones of tropical fruit with prominent strawberry aromas and flavors.",Double IPA,,,,,6.5,60,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
cosmiceye,straightsun,Straight for the Sun,Straight for the Sun,Dailed down ABV but with all the hops. Amarillo and strisslepalt hops provide notes of citrus and spice. The ultimate summer staple. ,IPA,,,,,4.5,35,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Fstraightsun%2Fstraightsun.png?alt=media,,,,
cosmiceye,basilisk,Gaze of the Basilisk,Gaze of the Basilisk,"This German style black lager, or 'Schwarzbier,' starts crisp and ends roasty and smooth. Fans of porters and stouts are likely to enjoy this one.",Black Lager,,,,,4.5,22,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Fbasilisk%2Fbasilisk.png?alt=media,,,,
cosmiceye,eyes,Everything has Eyes,Everything has Eyes,This New England style post-haze IPA brings stone fruits & citrus flavors without all the pulpy residue. Large additions of oats for a rounded mouthfeel along with generous and dry hop additions of simcoe and cascade hops.,IPA,,,,,5.8,55,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Feyes%2Feyes.png?alt=media,,,,
cosmiceye,forgetting,The Beauty of Forgetting,The Beauty of Forgetting,"This beer was brewed in collaboration with our friends Spotlights to celebrate their last album, Love & Decay and the lives of friends past.",IPA,,,,,6.4,60,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Fforgetting%2Fforgetting.png?alt=media,,,,
cosmiceye,deadmansrun,Deadman's Run,Deadman's Run,"This American style lager is Cosmic Eye's version of a beer-beer. Made with 50% corn and late additions of saaz hops, it is crisp, light and refreshing. ",Lager,,,,,4.8,22,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Fdeadmansrun%2Fdeadmansrun.png?alt=media,,,,
cosmiceye,unlock-the-time-dragon,Unlock the Time Dragon,Unlock the Time Dragon,"Leans west-coast with a simple grain bill and clean fermentation allowing the hops to shine through. Lots of hop flavor and restrained bitterness. Flavors of orange, grapefruit, and pine.",IPA,,,,,6.1,72,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fcosmiceye%2Fbeers%2Funlock-the-time-dragon%2Funlock-the-time-dragon.PNG?alt=media,,,,
thunderhead,hopaluia,Hopaluia,Hopaluia,A fine Belgian Pale Ale.,Belgian Pale Ale,,,,,5.2,,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fhopaluia%2Fhopaluia.png?alt=media,,,,
thunderhead,golden-frau,Golden Frau,Golden Frau,Brewed with sweet Nebraska Sand Hills honey,Wheat,,,,,7.5,12,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fgolden-frau%2Fgolden-frau.png?alt=media,,,,
thunderhead,thunder-punch,Thunder Punch,Thunder Punch,Grape Hard Seltzer,Hard Seltzer,,,,,5.6,,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
thunderhead,jalapeno,Jalapeno Ale,Jalapeno Ale,"The nice pepper flavor without a lot of heat, made with fresh jalapenos.",Jalapeno Ale,,,,,5,12,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
thunderhead,thunder-punch-lime,Thunder Punch Lime,Thunder Punch Lime,"Like our original, but lime flavored. Hard Seltzer",Hard Seltzer,,,,,5.6,,,,,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/static%2Femptycan.png?alt=media,,,,
thunderhead,thunder-punch-cherry,Thunder Punch Cherry,Thunder Punch Cherry,A take on our original only cherry flavored. Hard Seltzer,Hard Seltzer,,,,,5.6,,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fthunder-punch-cherry%2Fthunder-punch-cherry.PNG?alt=media,,,,
thunderhead,cornstalker,Cornstalker Dark Wheat,Cornstalker Dark Wheat,"A Dark American Wheat. Clean, roasty, round. Brewed with malted Nebraska Corn. Surprisingly dry. Incredibly drinkable.",American Pale Ale,,,,,5.2,12,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fcornstalker%2Fcornstalker.png?alt=media,,,,
thunderhead,leatherhead,Leatherhead Red,Leatherhead Red,Malty English style red ale hopped with aged Willamette hops for a crisp finish,Black Lager,,,,,5.2,40,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fleatherhead%2Fleatherhead.png?alt=media,,,,
thunderhead,prairiepeach,Prairie Peach,Prairie Peach,An American Wheat Ale made with Oregon Peaches.,American Pale Peach,,,,,5,12,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fprairiepeach%2Fprairiepeach.png?alt=media,,,,
thunderhead,schabens,Schaben's Pilsner,Schaben's Pilsner,A Southern German Style Pilsner.  Malty and Crisp.  This beer is step mashed and fermented cold.,Pilsner,,,,,5,20,,"On Tap, 12oz 6-Pack",,,https://firebasestorage.googleapis.com/v0/b/promotion-3abec.appspot.com/o/media%2Fbreweries%2Fthunderhead%2Fbeers%2Fschabens%2Fschabens.png?alt=media,,,,
